Entry,Entry name,Protein names,Gene names,Organism,Gene ontology IDs
Q8N0X2,SPG16_HUMAN,Sperm-associated antigen 16 protein (Pf20 protein homolog),SPAG16 PF20,Homo sapiens (Human),GO:0005930; GO:0007288; GO:0035082; GO:0036126; GO:0060271; GO:1990716
Q8K3X2,FCL_CRIGR,"GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein)",TSTA3,Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),GO:0001913; GO:0019673; GO:0042351; GO:0042802; GO:0047918; GO:0050577; GO:0050662
Q9VQH2,DUOX_DROME,Dual oxidase (EC 1.11.1.-) (EC 1.6.3.1),Duox CG3131,Drosophila melanogaster (Fruit fly),GO:0002385; GO:0004601; GO:0005509; GO:0005886; GO:0006952; GO:0006979; GO:0007476; GO:0008365; GO:0009611; GO:0012505; GO:0016174; GO:0016175; GO:0019221; GO:0020037; GO:0035220; GO:0042335; GO:0042554; GO:0042742; GO:0042744; GO:0043020; GO:0043066; GO:0048085; GO:0050665; GO:0051591; GO:0055114; GO:0072593
P51174,ACADL_MOUSE,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial (LCAD) (EC 1.3.8.8)",Acadl,Mus musculus (Mouse),GO:0000062; GO:0001659; GO:0004466; GO:0005739; GO:0005759; GO:0009062; GO:0009409; GO:0016401; GO:0019254; GO:0031966; GO:0033539; GO:0042413; GO:0042758; GO:0042802; GO:0044242; GO:0045717; GO:0046322; GO:0050660; GO:0055114; GO:0090181; GO:0120162
P49620,DGKG_RAT,Diacylglycerol kinase gamma (DAG kinase gamma) (EC 2.7.1.107) (88 kDa diacylglycerol kinase) (Diglyceride kinase gamma) (DGK-gamma),Dgkg Dagk3,Rattus norvegicus (Rat),GO:0003951; GO:0004143; GO:0005509; GO:0005524; GO:0005886; GO:0007205; GO:0035556; GO:0046339; GO:0046486; GO:0046834; GO:0048666
P50549,ETV1_HUMAN,ETS translocation variant 1 (Ets-related protein 81),ETV1 ER81,Homo sapiens (Human),GO:0000790; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0006357; GO:0006366; GO:0007411; GO:0007517; GO:0007638; GO:0030154; GO:0045944; GO:0048935
O75618,DEDD_HUMAN,Death effector domain-containing protein (DEDPro1) (Death effector domain-containing testicular molecule) (FLDED-1),DEDD DEDPRO1 DEFT KE05,Homo sapiens (Human),GO:0003677; GO:0005730; GO:0005737; GO:0007283; GO:0008625; GO:0042981
Q9NXK6,PAQR5_HUMAN,Membrane progestin receptor gamma (mPR gamma) (Membrane progesterone P4 receptor gamma) (Membrane progesterone receptor gamma) (Progesterone and adipoQ receptor family member 5) (Progestin and adipoQ receptor family member 5) (Progestin and adipoQ receptor family member V),PAQR5 MPRG,Homo sapiens (Human),GO:0005496; GO:0005886; GO:0007275; GO:0016021; GO:0038023; GO:0048477
Q92609,TBCD5_HUMAN,TBC1 domain family member 5,TBC1D5 KIAA0210,Homo sapiens (Human),GO:0002092; GO:0005096; GO:0005776; GO:0005794; GO:0005829; GO:0006886; GO:0006914; GO:0010008; GO:0016236; GO:0017137; GO:0030904; GO:0035612; GO:0042147; GO:0042594; GO:0043231; GO:0044877; GO:0090630; GO:1905394
Q28EH9,NEMP1_XENTR,Nuclear envelope integral membrane protein 1,nemp1 tmem194a TTpA010p19.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),GO:0001654; GO:0005635; GO:0005637; GO:0016021
A7MBC7,NEMP1_BOVIN,Nuclear envelope integral membrane protein 1,NEMP1 TMEM194A,Bos taurus (Bovine),GO:0005635; GO:0005637; GO:0016021
P0CB92,NDUA8_PONPY,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (NADH-ubiquinone oxidoreductase 19 kDa subunit),NDUFA8,Pongo pygmaeus (Bornean orangutan),GO:0005739; GO:0005747; GO:0005758; GO:0006120; GO:0032981
Q22306,YW12_CAEEL,UPF0046 protein T07D4.2,T07D4.2,Caenorhabditis elegans,GO:0016787
O75431,MTX2_HUMAN,Metaxin-2 (Mitochondrial outer membrane import complex protein 2),MTX2,Homo sapiens (Human),GO:0001401; GO:0005730; GO:0005739; GO:0005741; GO:0006839; GO:0015031
Q5I047,ACKMT_XENLA,ATP synthase subunit C lysine N-methyltransferase (EC 2.1.1.-) (Protein N-lysine methyltransferase FAM173B),atpsckmt fam173b,Xenopus laevis (African clawed frog),GO:0005739; GO:0016021; GO:0016279; GO:0018022; GO:0018023; GO:0030061; GO:1904058; GO:1905273; GO:1905706
B0K019,BAG1_RAT,BAG family molecular chaperone regulator 1 (BAG-1) (Bcl-2-associated athanogene 1),Bag1,Rattus norvegicus (Rat),GO:0000774; GO:0001933; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006915; GO:0010226; GO:0014040; GO:0014070; GO:0030182; GO:0031625; GO:0035094; GO:0042493; GO:0043066; GO:0043525; GO:0045944; GO:0048471; GO:0051085; GO:0051087; GO:0051219; GO:0070585; GO:1901423; GO:2000672
Q9JI12,VGLU2_RAT,Vesicular glutamate transporter 2 (VGluT2) (Differentiation-associated BNPI) (Differentiation-associated Na(+)-dependent inorganic phosphate cotransporter) (Solute carrier family 17 member 6),Slc17a6 Dnpi Vglut2,Rattus norvegicus (Rat),GO:0001504; GO:0003407; GO:0005313; GO:0005326; GO:0005769; GO:0006814; GO:0007420; GO:0008021; GO:0015293; GO:0016021; GO:0021766; GO:0030054; GO:0030285; GO:0030672; GO:0035249; GO:0050803; GO:0060076; GO:0098700; GO:0098793; GO:1990030
Q06335,APLP2_MOUSE,Amyloid-like protein 2 (APLP-2) (CDEI box-binding protein) (CDEBP),Aplp2,Mus musculus (Mouse),GO:0001967; GO:0003677; GO:0005623; GO:0005634; GO:0005886; GO:0006878; GO:0007176; GO:0007617; GO:0007626; GO:0008201; GO:0008203; GO:0016021; GO:0030198; GO:0030900; GO:0030901; GO:0042802; GO:0043393; GO:0046914; GO:0050885
P05067,A4_HUMAN,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31],APP A4 AD1,Homo sapiens (Human),GO:0000122; GO:0000185; GO:0000187; GO:0000978; GO:0000979; GO:0001664; GO:0001774; GO:0001878; GO:0001934; GO:0001967; GO:0002265; GO:0002576; GO:0003677; GO:0004867; GO:0005102; GO:0005109; GO:0005158; GO:0005178; GO:0005576; GO:0005615; GO:0005623; GO:0005634; GO:0005641; GO:0005737; GO:0005739; GO:0005768; GO:0005769; GO:0005788; GO:0005790; GO:0005791; GO:0005794; GO:0005796; GO:0005798; GO:0005829; GO:0005886; GO:0005887; GO:0005905; GO:0005911; GO:0006357; GO:0006378; GO:0006417; GO:0006468; GO:0006878; GO:0006897; GO:0006979; GO:0007155; GO:0007176; GO:0007186; GO:0007189; GO:0007193; GO:0007204; GO:0007219; GO:0007409; GO:0007611; GO:0007612; GO:0007613; GO:0007617; GO:0007626; GO:0008021; GO:0008088; GO:0008201; GO:0008203; GO:0008285; GO:0008306; GO:0008344; GO:0008542; GO:0009986; GO:0009987; GO:0010288; GO:0010468; GO:0010628; GO:0010629; GO:0010739; GO:0010800; GO:0010823; GO:0010971; GO:0014005; GO:0016020; GO:0016021; GO:0016199; GO:0016322; GO:0016358; GO:0016504; GO:0019722; GO:0019731; GO:0019732; GO:0019899; GO:0030111; GO:0030134; GO:0030198; GO:0030424; GO:0030546; GO:0030549; GO:0030900; GO:0031093; GO:0031175; GO:0031594; GO:0031904; GO:0032092; GO:0032588; GO:0032640; GO:0032930; GO:0032991; GO:0033130; GO:0033138; GO:0034121; GO:0034185; GO:0034363; GO:0034364; GO:0035066; GO:0035235; GO:0035253; GO:0040014; GO:0042056; GO:0042157; GO:0042327; GO:0042535; GO:0042802; GO:0042803; GO:0043065; GO:0043197; GO:0043198; GO:0043204; GO:0043235; GO:0043280; GO:0043395; GO:0043410; GO:0043525; GO:0043687; GO:0044267; GO:0044304; GO:0045080; GO:0045087; GO:0045121; GO:0045177; GO:0045202; GO:0045410; GO:0045429; GO:0045665; GO:0045666; GO:0045745; GO:0045821; GO:0045931; GO:0045944; GO:0046330; GO:0046875; GO:0046914; GO:0046982; GO:0046983; GO:0048143; GO:0048169; GO:0048471; GO:0048669; GO:0048786; GO:0050725; GO:0050730; GO:0050750; GO:0050786; GO:0050803; GO:0050808; GO:0050829; GO:0050830; GO:0050867; GO:0050885; GO:0050890; GO:0051044; GO:0051087; GO:0051091; GO:0051092; GO:0051124; GO:0051233; GO:0051247; GO:0051260; GO:0051262; GO:0051402; GO:0051425; GO:0051563; GO:0051897; GO:0055037; GO:0061098; GO:0061844; GO:0061903; GO:0070062; GO:0070206; GO:0070374; GO:0070381; GO:0070555; GO:0070851; GO:0071280; GO:0071287; GO:0071320; GO:0071874; GO:0090026; GO:0090090; GO:0090647; GO:0097449; GO:0097645; GO:0098815; GO:0106003; GO:0150003; GO:1900122; GO:1900181; GO:1900221; GO:1900272; GO:1900273; GO:1901215; GO:1901216; GO:1901224; GO:1902004; GO:1902715; GO:1902894; GO:1902949; GO:1902950; GO:1902961; GO:1903048; GO:1903223; GO:1903523; GO:1904022; GO:1904399; GO:1904472; GO:1904591; GO:1904646; GO:1905606; GO:1905893; GO:1905896; GO:1905898; GO:1905906; GO:1905908; GO:1905945; GO:1990000; GO:1990090; GO:1990535; GO:1990761; GO:1990777; GO:1990812; GO:2000310; GO:2000406; GO:2000463
P52741,ZN134_HUMAN,Zinc finger protein 134,ZNF134,Homo sapiens (Human),GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0046872
P45844,ABCG1_HUMAN,ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP-binding cassette transporter 8) (White protein homolog),ABCG1 ABC8 WHT1,Homo sapiens (Human),GO:0000139; GO:0005524; GO:0005543; GO:0005548; GO:0005739; GO:0005768; GO:0005789; GO:0005794; GO:0005886; GO:0008203; GO:0009720; GO:0009897; GO:0010033; GO:0010745; GO:0010872; GO:0010875; GO:0010887; GO:0015485; GO:0016021; GO:0016887; GO:0019534; GO:0032367; GO:0033344; GO:0033700; GO:0033993; GO:0034041; GO:0034374; GO:0034375; GO:0034436; GO:0042626; GO:0042632; GO:0042803; GO:0042987; GO:0043531; GO:0043691; GO:0045542; GO:0046982; GO:0046983; GO:0050714; GO:0055037; GO:0055085; GO:0055091; GO:0071403; GO:0090554; GO:0120020; GO:0140328; GO:1902004
Q9IAT6,DLLC_DANRE,Delta-like protein C (DeltaC) (delC),dlc,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0001756; GO:0001757; GO:0002244; GO:0005112; GO:0005509; GO:0005737; GO:0005886; GO:0007219; GO:0016021; GO:0021514; GO:0030165; GO:0035907; GO:0042802; GO:0045746; GO:0048471; GO:0048514; GO:0048666; GO:0060218; GO:0060842; GO:0061056
Q7LGC8,CHST3_HUMAN,Carbohydrate sulfotransferase 3 (EC 2.8.2.17) (Chondroitin 6-O-sulfotransferase 1) (C6ST-1) (Chondroitin 6-sulfotransferase) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 0) (GST-0),CHST3,Homo sapiens (Human),GO:0000139; GO:0001517; GO:0005802; GO:0005975; GO:0006044; GO:0006790; GO:0008146; GO:0008459; GO:0016021; GO:0030206
B2RRE7,OTUD4_MOUSE,OTU domain-containing protein 4 (EC 3.4.19.12),Otud4 Kiaa1046,Mus musculus (Mouse),GO:0004843; GO:0005634; GO:0005829; GO:0034122; GO:0045087; GO:0060090; GO:0061578; GO:0070536; GO:0071108; GO:1901537; GO:1903093; GO:2000660
O88196,TTC3_MOUSE,E3 ubiquitin-protein ligase TTC3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TTC3) (TPR repeat protein D) (Mtprd),Ttc3 Kiaa4119,Mus musculus (Mouse),GO:0004842; GO:0005634; GO:0005654; GO:0005730; GO:0005773; GO:0005829; GO:0006511; GO:0010771; GO:0045665; GO:0046872; GO:0070936
Q6DE15,B3G5B_XENLA,"Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase B (EC 2.4.1.206) (Lactotriaosylceramide synthase B) (Lc(3)Cer synthase B) (Lc3 synthase B) (UDP-GlcNAc:beta-Gal beta-1,3-N-acetylglucosaminyltransferase 5B) (BGnT-5B) (Beta-1,3-Gn-T5B) (Beta-1,3-N-acetylglucosaminyltransferase 5B) (Beta3Gn-T5B)",b3gnt5-b,Xenopus laevis (African clawed frog),GO:0000139; GO:0006486; GO:0008378; GO:0016021; GO:0047256
Q0VCS9,ANKY2_BOVIN,Ankyrin repeat and MYND domain-containing protein 2,ANKMY2,Bos taurus (Bovine),GO:0005929; GO:0019899; GO:0046872
Q9NVX7,KBTB4_HUMAN,Kelch repeat and BTB domain-containing protein 4 (BTB and kelch domain-containing protein 4),KBTBD4 BKLHD4,Homo sapiens (Human),
P09015,HME2A_DANRE,Homeobox protein engrailed-2a (Homeobox protein en-2a) (Zf-En-2),eng2a eng-2 eng2 zf-en-2,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0001708; GO:0005634; GO:0006357; GO:0009952; GO:0016586; GO:0021555; GO:0030182; GO:0030901; GO:0030917; GO:0043565; GO:0060385; GO:0060561
P27609,HMEN_BOMMO,Segmentation polarity homeobox protein engrailed,en,Bombyx mori (Silk moth),GO:0005634; GO:0006355; GO:0007367; GO:0043565
Q9NR97,TLR8_HUMAN,Toll-like receptor 8 (CD antigen CD288),TLR8 UNQ249/PRO286,Homo sapiens (Human),GO:0000139; GO:0001774; GO:0001932; GO:0002224; GO:0002755; GO:0003677; GO:0003723; GO:0003725; GO:0003727; GO:0004888; GO:0005789; GO:0005886; GO:0006955; GO:0007249; GO:0008144; GO:0008329; GO:0009615; GO:0009897; GO:0010008; GO:0016021; GO:0016064; GO:0032755; GO:0034158; GO:0034162; GO:0036020; GO:0038023; GO:0042802; GO:0045078; GO:0045087; GO:0045089; GO:0045356; GO:0045359; GO:0045416; GO:0050718; GO:0051607; GO:0071260; GO:2000778; GO:2001183
Q16831,UPP1_HUMAN,Uridine phosphorylase 1 (UPase 1) (UrdPase 1) (EC 2.4.2.3),UPP1 UP,Homo sapiens (Human),GO:0004850; GO:0005654; GO:0005829; GO:0006139; GO:0006218; GO:0009166; GO:0042149; GO:0043097; GO:0044206; GO:0046135
Q8CBE3,WDR37_MOUSE,WD repeat-containing protein 37,Wdr37 Kiaa0982,Mus musculus (Mouse),GO:0030687; GO:0070545
Q6DDF0,WDR37_XENLA,WD repeat-containing protein 37,wdr37,Xenopus laevis (African clawed frog),
P51400,RED1_RAT,Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase),Adarb1 Red1,Rattus norvegicus (Rat),GO:0003723; GO:0003725; GO:0003726; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006382; GO:0006396; GO:0006397; GO:0007274; GO:0007420; GO:0008251; GO:0008285; GO:0016553; GO:0016556; GO:0021610; GO:0021618; GO:0021965; GO:0030336; GO:0035264; GO:0042802; GO:0044387; GO:0045070; GO:0045202; GO:0046872; GO:0050685; GO:0050884; GO:0051726; GO:0060384; GO:0060415; GO:0061744; GO:0097049
Q91550,ILF3A_XENLA,Interleukin enhancer-binding factor 3-A (CCAAT box transcription factor subunit) (Double-stranded RNA-binding protein 4F.1) (DsRNA-binding protein 4F.1),ilf3-a ilf3 ubp3,Xenopus laevis (African clawed frog),GO:0003725; GO:0005634; GO:0005737; GO:0006355; GO:0006357; GO:0007275; GO:0035925; GO:0043565; GO:0044212; GO:0048027; GO:0051607; GO:1990904
Q7T3B2,HRG1A_DANRE,Heme transporter hrg1-A (zHRG-1) (Heme-responsive gene 1 protein homolog A) (HRG-1A) (Solute carrier family 48 member 1-B),slc48a1b hrg1a zgc:63994,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0005765; GO:0005886; GO:0010008; GO:0015232; GO:0015886; GO:0016021; GO:0020037; GO:0048821
Q566I1,IN80D_XENLA,INO80 complex subunit D,ino80d,Xenopus laevis (African clawed frog),GO:0005634; GO:0006281; GO:0006310
P53353,ASPX_VULVU,Sperm acrosomal protein FSA-ACR.1 (Fragment),,Vulpes vulpes (Red fox),GO:0001669
P23128,DDX6_DROME,ATP-dependent RNA helicase me31b (EC 3.6.4.13) (Maternal expression at 31B),me31B CG4916,Drosophila melanogaster (Fruit fly),GO:0000932; GO:0003723; GO:0003724; GO:0003729; GO:0005524; GO:0005737; GO:0005783; GO:0007279; GO:0010494; GO:0030707; GO:0033962; GO:0034063; GO:0035195; GO:0036464; GO:0043025; GO:0043186; GO:0046959; GO:0050688; GO:0060148; GO:0071598; GO:0071683; GO:0090328; GO:0098794; GO:0150011; GO:1905618; GO:1990120; GO:1990124; GO:2000766
Q6DGQ0,SPT4H_DANRE,Transcription elongation factor SPT4 (DRB sensitivity-inducing factor small subunit) (DSIF small subunit),supt4h1 zgc:92824,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0000993; GO:0003727; GO:0006325; GO:0008270; GO:0032044; GO:0032786
Q92887,MRP2_HUMAN,Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Canalicular multidrug resistance protein) (Multidrug resistance-associated protein 2) (EC 7.6.2.2),ABCC2 CMOAT CMOAT1 CMRP MRP2,Homo sapiens (Human),GO:0005524; GO:0005623; GO:0005886; GO:0005887; GO:0006855; GO:0006979; GO:0007565; GO:0008514; GO:0008559; GO:0009408; GO:0009986; GO:0010629; GO:0015127; GO:0015694; GO:0015721; GO:0015722; GO:0015732; GO:0016020; GO:0016324; GO:0016887; GO:0019904; GO:0030644; GO:0031427; GO:0031526; GO:0033762; GO:0042626; GO:0042910; GO:0043627; GO:0046581; GO:0046685; GO:0055085; GO:0070327; GO:0070633; GO:0071222; GO:0071347; GO:0071354; GO:0071356; GO:0071549; GO:1901086; GO:1990962
Q86YT5,S13A5_HUMAN,Solute carrier family 13 member 5 (Na(+)/citrate cotransporter) (NaCT) (Sodium-coupled citrate transporter) (Sodium-dependent citrate transporter),SLC13A5 NACT,Homo sapiens (Human),GO:0005654; GO:0005829; GO:0005886; GO:0015137; GO:0015141; GO:0015746; GO:0016021; GO:0017153
Q9Z0Z5,S13A3_RAT,Solute carrier family 13 member 3 (Na(+)/dicarboxylate cotransporter 3) (NaDC-3) (rNaDC3) (Sodium-dependent high-affinity dicarboxylate transporter 2),Slc13a3 Nadc3 Sdct2,Rattus norvegicus (Rat),GO:0005310; GO:0005343; GO:0005886; GO:0006835; GO:0015137; GO:0015139; GO:0015141; GO:0015183; GO:0015362; GO:0015744; GO:0015746; GO:0015810; GO:0016020; GO:0016021; GO:0017153
A2BD89,CV039_XENLA,UPF0545 protein C22orf39 homolog,,Xenopus laevis (African clawed frog),
I3J7Q8,HISAT_ORENI,Histidine N-acetyltransferase (EC 2.3.1.33),hisat,Oreochromis niloticus (Nile tilapia) (Tilapia nilotica),GO:0047981
Q8AX98,TBX1A_XENLA,T-box transcription factor TBX1-A (T-box protein 1-A),tbx1-a,Xenopus laevis (African clawed frog),GO:0003677; GO:0003700; GO:0005634; GO:0007275; GO:0045944; GO:0050793; GO:0060788; GO:0071300
P51464,ARLY_LITCT,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),ASL,Lithobates catesbeiana (American bullfrog) (Rana catesbeiana),GO:0000050; GO:0004056; GO:0042450
Q071E0,KT5AA_DANRE,N-lysine methyltransferase KMT5A-A (EC 2.1.1.-) (Histone-lysine N-methyltransferase KMT5A-A) (EC 2.1.1.-) (Lysine-specific methylase 5A-A) (SET domain-containing protein 8-A),kmt5aa set8a setd8 setd8a zgc:153719,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0005634; GO:0005694; GO:0007049; GO:0009953; GO:0010628; GO:0018024; GO:0051301
P27590,UROM_RAT,"Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]",Umod,Rattus norvegicus (Rat),GO:0000922; GO:0005509; GO:0005615; GO:0005794; GO:0005929; GO:0007157; GO:0007159; GO:0007588; GO:0010033; GO:0016323; GO:0016324; GO:0019864; GO:0031225; GO:0031410; GO:0045121; GO:0045177; GO:0048878; GO:0050801; GO:0060170; GO:0072218; GO:0072221; GO:0072233; GO:1990266
Q9H2X3,CLC4M_HUMAN,C-type lectin domain family 4 member M (CD209 antigen-like protein 1) (DC-SIGN-related protein) (DC-SIGNR) (Dendritic cell-specific ICAM-3-grabbing non-integrin 2) (DC-SIGN2) (Liver/lymph node-specific ICAM-3-grabbing non-integrin) (L-SIGN) (CD antigen CD299),CLEC4M CD209L CD209L1 CD299,Homo sapiens (Human),GO:0001618; GO:0002250; GO:0005537; GO:0005576; GO:0005737; GO:0005887; GO:0006897; GO:0007159; GO:0009988; GO:0016020; GO:0019048; GO:0019062; GO:0019079; GO:0019882; GO:0030246; GO:0030369; GO:0035556; GO:0038023; GO:0042605; GO:0043657; GO:0045087; GO:0046790; GO:0046872; GO:0046968; GO:0048306; GO:0075733
Q67EQ1,CLC4E_RAT,C-type lectin domain family 4 member E (C-type lectin superfamily member 9) (Macrophage-inducible C-type lectin) (Mincle),Clec4e Clecsf9 Mincle,Rattus norvegicus (Rat),GO:0002221; GO:0002292; GO:0005509; GO:0006955; GO:0016020; GO:0016021; GO:0030246; GO:0038023; GO:0038094; GO:0038187; GO:0042742; GO:0045087; GO:0050715
P55067,NCAN_RAT,Neurocan core protein (245 kDa early postnatal core glycoprotein) (Chondroitin sulfate proteoglycan 3) [Cleaved into: 150 kDa adult core glycoprotein],Ncan Cspg3,Rattus norvegicus (Rat),GO:0001501; GO:0005509; GO:0005540; GO:0005886; GO:0007155; GO:0007417; GO:0030246; GO:0031012; GO:0045202; GO:0051823; GO:0072534
A7S8T5,CCD42_NEMVE,Coiled-coil domain-containing protein 42 homolog,v1g187067,Nematostella vectensis (Starlet sea anemone),
Q9VXK0,NIPSN_DROME,Protein NipSnap,Nipsnap CG9212,Drosophila melanogaster (Fruit fly),GO:0005739
Q9CUS9,SPPL3_MOUSE,Signal peptide peptidase-like 3 (SPP-like 3) (EC 3.4.23.-) (Intramembrane protease 2) (IMP-2) (Presenilin-like protein 4),Sppl3 Imp2 Psl4 Usmg3,Mus musculus (Mouse),GO:0005623; GO:0005791; GO:0005794; GO:0005886; GO:0006465; GO:0007204; GO:0016020; GO:0030660; GO:0032092; GO:0033116; GO:0033619; GO:0035307; GO:0042500; GO:0042803; GO:0043231; GO:0050852; GO:0070886; GO:0071458; GO:0071556
Q9BGQ3,SEPT5_MACFA,Septin-5,SEPTIN5 SEPT5 QflA-14636,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),GO:0005525; GO:0005886; GO:0007049; GO:0008021; GO:0017157; GO:0030534; GO:0031105; GO:0035176; GO:0051301; GO:0098793
Q9H427,KCNKF_HUMAN,Potassium channel subfamily K member 15 (Acid-sensitive potassium channel protein TASK-5) (TWIK-related acid-sensitive K(+) channel 5) (Two pore potassium channel KT3.3) (Two pore K(+) channel KT3.3),KCNK15 TASK5,Homo sapiens (Human),GO:0005886; GO:0005887; GO:0022841; GO:0030322; GO:0034765; GO:0061337; GO:0071805
B1AT66,MOT7_MOUSE,Monocarboxylate transporter 7 (MCT 7) (Monocarboxylate transporter 6) (MCT 6) (Solute carrier family 16 member 6),Slc16a6 Mct7,Mus musculus (Mouse),GO:0005886; GO:0008028; GO:0015293; GO:0016021
O77775,NCF2_BOVIN,Neutrophil cytosol factor 2 (NCF-2) (67 kDa neutrophil oxidase factor) (Neutrophil NADPH oxidase factor 2) (p67-phox),NCF2,Bos taurus (Bovine),GO:0005829; GO:0006909; GO:0016176; GO:0042554; GO:0043020; GO:0045730; GO:0048365
Q5RJI4,PKDCC_MOUSE,"Extracellular tyrosine-protein kinase PKDCC (EC 2.7.10.2) (Protein kinase domain-containing protein, cytoplasmic) (Protein kinase-like protein SgK493) (Sugen kinase 493) (Vertebrate lonesome kinase)",Pkdcc Sgk493 Vlk,Mus musculus (Mouse),GO:0001501; GO:0004672; GO:0004715; GO:0005524; GO:0005576; GO:0005794; GO:0015031; GO:0018108; GO:0030154; GO:0030282; GO:0030501; GO:0032332; GO:0035108; GO:0035264; GO:0042997; GO:0048286; GO:0048566; GO:0060021
